"home_team","away_team","date","prob_home_winner","prob_away_win","pred_hc","pred_ac","total_c","odds_home_win_plus10","odds_away_win_plus10","odd_h45","odd_a45","odd_h55","odd_a55","odd_h65","odd_a65"
"Man City","Liverpool",2023-11-25,0.556941865830656,0.363058134169344,6.00418684638014,4.0916343890651,10.0958212354452,1.98,3.025,1.02,5.16,1.07,7.18,3.02,8.29
"Burnley","West Ham",2023-11-25,0.57073115995598,0.34926884004402,6.54052544367532,4.14737162520237,10.6878970688777,1.925,3.146,1.06,7.56,1.16,6.74,1.48,17.75
"Nott'm Forest","Brighton",2023-11-25,0.488139244036981,0.431860755963019,4.82721811506645,7.70828788625555,12.535506001322,2.255,2.552,1.56,2.42,7.93,1.81,3.67,1.21
"Sheffield United","Bournemouth",2023-11-25,0.56765262822832,0.35234737177168,5.24075434668284,3.03714256897816,8.277896915661,1.936,3.124,1.27,22.86,1.75,7.32,10.51,8.07
"Newcastle","Chelsea",2023-11-25,0.58224214745676,0.33775785254324,7.37667175759553,4.3091297769261,11.6858015345216,1.892,3.256,1.04,1.7,1.34,12.11,9,19.53
"Luton","Crystal Palace",2023-11-25,0.504955512401301,0.415044487598699,4.9646306828519,5.80055484962635,10.7651855324783,2.178,2.651,1.31,1.23,4.62,1.51,6.62,13.39
"Brentford","Arsenal",2023-11-25,0.477463076573412,0.442536923426588,3.2770498091898,8.10879208460966,11.3858418937995,2.299,2.486,3.22,1.06,57.76,1.52,249.91,2.07
"Tottenham","Aston Villa",2023-11-26,0.471400800945497,0.448599199054504,3.90422776098368,6.198289881282,10.1025176422657,2.332,2.453,1.74,1.19,8.85,1.53,40.05,1.86
"Everton","Man United",2023-11-26,0.647823458754293,0.272176541245707,5.84783107727011,4.18937564824498,10.0372067255151,1.694,4.037,1.01,1.97,4.04,16.04,3.6,45.18
"Fulham","Wolves",2023-11-27,0.510218179661905,0.409781820338096,3.91968644237935,5.824041115456,9.74372755783535,2.156,2.684,2.32,1.31,12.44,3.67,41.16,19.27
