home_team,away_team,Date,prob_home_winner,prob_away_win,odds_home_win,odds_away_win,home_odds_plus_10perc,away_odds_plus_10perc,Bet,bf_h,bf_d,bf_a,wh_h,wh_d,wh_a,Odds,Odds_from,Bet_amt,Winner
Brighton,Liverpool,12/03/2022,0.37473406,0.54526594,2.668559141,1.833967476,2.935415055,2.017364224,H,,,,,,,4,WH,10,Y
Brentford,Burnley,12/03/2022,0.46089311,0.45910689,2.169700475,2.178142001,2.386670522,2.395956201,A,,,,,,,2.8,WH,10,Y
Man United,Tottenham,12/03/2022,0.431100566,0.488899434,2.319644367,2.045410427,2.551608803,2.24995147,A,,,,,,,2.25,WH,10,Y
Chelsea,Newcastle,13/03/2022,0.495595119,0.424404881,2.017776128,2.356240573,2.21955374,2.59186463,A,,,,,,,4.75,WH,10,N
Everton,Wolves,13/03/2022,0.606315746,0.313684254,1.649305674,3.187919021,1.814236241,3.506710923,No bet,,,,,,,,,,
Leeds,Norwich,13/03/2022,0.513614623,0.406385377,1.946985066,2.460718462,2.141683573,2.706790309,A,,,,,,,3.3,WH,10,N
Southampton,Watford,13/03/2022,0.690724983,0.229275017,1.447754207,4.361574205,1.592529627,4.797731626,No bet,,,,,,,,,,
West Ham,Aston Villa,13/03/2022,0.37189854,0.54810146,2.688905421,1.824479723,2.957795963,2.006927695,A,,,,,,,2.6,WH,10,Y
Arsenal,Leicester,13/03/2022,0.63227249,0.28772751,1.581596568,3.475510562,1.739756224,3.823061618,A,,,,,,,3.5,WH,10,Y
Crystal Palace,Man City,14/03/2022,0.280185915,0.639814085,3.569058781,1.562954026,3.925964659,1.719249429,H,,,,,,,10.5,BFE,10,N
Brighton,Tottenham,16/03/2022,0.336137999,0.583862001,2.97496862,1.712733485,3.272465482,1.884006834,A,,,,,,,2.1,WH,10,N
Arsenal,Liverpool,16/03/2022,0.66189751,0.25810249,1.51080792,3.874429882,1.661888713,4.261872871,H,,,,,,,3.2,BFE,10,N
Everton,Newcastle,17/03/2022,0.508658373,0.411341627,1.965956038,2.431069298,2.162551642,2.674176228,H,,,,,,,2.1,BFE,10,N
Wolves,Leeds,18/03/2022,0.516064548,0.403935452,1.937742099,2.475643063,2.131516309,2.723207369,A,,,,,,,2.74,BFE,10,Y
Aston Villa,Arsenal,19/03/2022,0.355796496,0.564203504,2.810595413,1.77241012,3.091654954,1.949651132,A,,,,,,,1.95,BFE,10,N
Leicester,Brentford,20/03/2022,0.486220091,0.433779909,2.056681777,2.30531654,2.262349955,2.535848194,A,,,,,,,3.2,BF,10,Y
Tottenham,West Ham,20/03/2022,0.480797524,0.439202476,2.079877601,2.276854193,2.287865361,2.504539613,A,,,,,,,3.4,BF,10,N
Liverpool,Watford,02/04/2022,0.758185469,0.161814531,1.318938492,6.179914724,1.450832342,6.797906197,A,1.03,17,15,1.07,19,7,12,BF,10,N
Brighton,Norwich,02/04/2022,0.59721547,0.32278453,1.674437536,3.098041904,1.84188129,3.407846095,A,1.5,4,7.5,,,,5.5,BF,10,N
Burnley,Man City,02/04/2022,0.321097209,0.598902791,3.114321682,1.669720053,3.42575385,1.836692058,H,13,15,1.04,7,17,1.08,12,BF,10,N
Chelsea,Brentford,02/04/2022,0.522219809,0.397780191,1.914902466,2.513951229,2.106392712,2.765346352,A,1.13,11,7,1.18,12,5,7,BF,10,N
Leeds,Southampton,02/04/2022,0.329264231,0.590735769,3.037074502,1.692804215,3.340781952,1.862084637,A,2.1,7,2,2,8,2,2,BF,10,Y
Wolves,Aston Villa,02/04/2022,0.421718969,0.498281031,2.371247377,2.006899598,2.608372115,2.207589558,H,2.2,7,1.91,2.2,7.5,1.85,2.2,BF,10,N
Man United,Leicester,02/04/2022,0.495801142,0.424198858,2.016937669,2.357384942,2.218631436,2.593123436,A,1.36,8,3.75,1.44,9,3.1,3.7,BF,10,N
West Ham,Everton,03/04/2022,0.473981098,0.446018902,2.109788777,2.242057443,2.320767654,2.466263188,A,1.36,8,3.75,1.4,9,3.3,3.75,BF,10,Y
Tottenham,Newcastle,03/04/2022,0.728851236,0.191148764,1.372022096,5.231527412,1.509224305,5.754680154,H,1.36,8,3.75,1.4,9,3.3,1.65,BFE,10,N
Crystal Palace,Arsenal,04/04/2022,0.295197255,0.624802745,3.387565373,1.600505133,3.72632191,1.760555646,A,2.75,7.5,1.62,2.5,8,1.67,1.74,BFE,24,Y
Burnley,Everton,06/04/2022,0.432438026,0.487561974,2.31247009,2.051021311,2.543717099,2.256123442,A,1.73,7.5,2.5,1.7,8,2.45,2.5,BF,10,N
Newcastle,Wolves,08/04/2022,0.44701055,0.47298945,2.237083666,2.114212061,2.460792033,2.325633267,A,1.67,7.5,2.63,1.7,8,2.45,2.74,WH,10,Y
Everton,Man United,09/04/2022,0.309140327,0.610859673,3.234776941,1.637037185,3.558254635,1.800740903,No Bet,2.7,7.5,1.62,2.6,8,1.61,,,,
Arsenal,Brighton,09/04/2022,0.597977444,0.322022556,1.672303881,3.105372529,1.839534269,3.415909782,No Bet,1.4,8,3.5,1.4,9,3.2,,,,
Southampton,Chelsea,09/04/2022,0.558726597,0.361273403,1.789784138,2.767986768,1.968762551,3.044785445,H,2.4,7.5,1.73,2.37,8,1.73,2.4,BF,10,N
Watford,Leeds,09/04/2022,0.393736809,0.526263191,2.539767625,1.900189899,2.793744388,2.090208889,A,1.91,7.5,2.1,1.91,8,2.1,2.1,BF,10,Y
Aston Villa,Tottenham,09/04/2022,0.444885124,0.475114876,2.247771272,2.104754134,2.472548399,2.315229547,No bet,2.3,7.5,1.8,2.2,8,1.83,,,,
Brentford,West Ham,10/04/2022,0.38816581,0.53183419,2.576218651,1.880285283,2.833840516,2.068313811,No bet,2.1,7,1.91,2.15,7.5,1.85,,,,
Leicester,Crystal Palace,10/04/2022,0.543594956,0.376405044,1.839605002,2.656712538,2.023565502,2.922383792,No bet,1.67,7.5,2.63,1.67,8,2.5,,,,
Norwich,Burnley,10/04/2022,0.473759006,0.446240994,2.110777818,2.240941582,2.3218556,2.46503574,No bet,1.91,7.5,2.1,1.91,8,2.1,,,,
Man City,Liverpool,10/04/2022,0.567689174,0.352310826,1.761527338,2.838402704,1.937680071,3.122242974,H,1.5,7.5,3.1,1.53,8.5,2.8,1.53,WH,20,Y
Tottenham,Brighton,16/04/2022,0.685196428,0.234803572,1.459435511,4.258879001,1.605379063,4.684766901,No bet,1.33,8.5,3.75,1.4,9,3.2,,,,
Man United,Norwich,16/04/2022,0.644348597,0.275651403,1.551954959,3.627770396,1.707150455,3.990547435,A,1.13,10,7,1.2,12,4.75,7,BF,10,Y
Southampton,Arsenal,16/04/2022,0.435110691,0.484889309,2.298265753,2.062326353,2.528092328,2.268558988,H,2.4,7,1.8,2.37,8,1.75,2.4,BF,10,N
Watford,Brentford,16/04/2022,0.308151015,0.611848985,3.245162112,1.634390226,3.569678323,1.797829248,A,2,7,2.1,2,8,2,2.1,BF,10,N
Newcastle,Leicester,17/04/2022,0.296301673,0.623698327,3.374938754,1.603339238,3.71243263,1.763673162,A,1.8,7,2.38,1.75,7.5,2.37,3,BFE,20,Y
West Ham,Burnley,17/04/2022,0.383919783,0.536080217,2.604710786,1.86539247,2.865181865,2.051931717,A,1.3,8.5,4.2,1.36,9.5,3.5,4.2,BF,10,N
Liverpool,Man United,19/04/2022,0.733274178,0.186725822,1.363746372,5.355445699,1.500121009,5.890990269,A,1.13,12,7.5,1.18,13,5,7.6,BFE,3,N
Chelsea,Arsenal,20/04/2022,0.548598378,0.371401622,1.822827117,2.692503052,2.005109828,2.961753357,A,1.4,8,3.4,1.36,9.5,3.5,3.4,BF,10,N
Everton,Leicester,20/04/2022,0.338383123,0.581616877,2.955230131,1.71934488,3.250753144,1.891279368,A,1.91,7.5,2.1,1.85,8,2.2,2.1,BF,10,N
Newcastle,Crystal Palace,20/04/2022,0.448178395,0.471821605,2.231254364,2.119445124,2.4543798,2.331389637,A,1.8,7,2.3,1.83,7.5,2.25,2.3,BF,10,Y
Man City,Brighton,20/04/2022,0.724828546,0.195171454,1.379636613,5.123700109,1.517600274,5.63607012,A,1.04,15,13,1.08,17,7,13,BF,10,N
Burnley,Southampton,21/04/2022,0.414492467,0.505507533,2.412589078,1.978209889,2.653847986,2.176030878,H,2.5,7.5,1.73,2.62,8.5,1.6,2.68,BFE,13,N
Arsenal,Man United,23/04/2022,0.55772816,0.36227184,1.792988184,2.760358075,1.972287003,3.036393882,No bet,1.62,7.5,2.7,1.73,8,2.37,,,,
Norwich,Newcastle,23/04/2022,0.514608864,0.405391136,1.943223427,2.46675349,2.13754577,2.713428839,H,2.6,7.5,1.67,2.5,8,1.67,2.6,BF,10,N
Man City,Watford,23/04/2022,0.776011629,0.143988371,1.288640483,6.945005289,1.417504531,7.639505818,A,1.04,14,13,1.08,17,7,13,BF,10,N
Leicester,Aston Villa,23/04/2022,0.310376698,0.609623302,3.221891352,1.640357245,3.544080488,1.80439297,A,1.91,7.5,2.1,1.91,8,2.1,2.1,BF,10,N
Brentford,Tottenham,23/04/2022,0.508591235,0.411408765,1.966215562,2.430672567,2.162837118,2.673739824,H,3,7.5,1.53,2.9,8.5,1.5,3,BF,10,Y
Brighton,Southampton,24/04/2022,0.565141805,0.354858195,1.769467399,2.818027073,1.946414139,3.09982978,No bet,1.8,7,2.1,1.8,8,2.25,,,,
Burnley,Wolves,24/04/2022,0.428511013,0.491488987,2.333662311,2.034633585,2.567028542,2.238096943,A,1.73,7.5,2.4,1.75,8,2.37,2.4,BF,10,Y
Chelsea,West Ham,24/04/2022,0.537483678,0.382516322,1.860521614,2.61426753,2.046573775,2.875694283,A,1.25,9.5,4.5,1.3,10,3.75,5.1,BFE,10,N
Liverpool,Everton,24/04/2022,0.584974241,0.335025759,1.709476982,2.984845114,1.88042468,3.283329626,A,1.04,15,13,1.08,17,7,13,BF,10,N
Crystal Palace,Leeds,25/04/2022,0.285675023,0.634324977,3.500481035,1.576478991,3.850529139,1.73412689,A,1.83,7,2.1,1.8,7.5,2.3,2.7,BFE,10,N
Man United,Chelsea,28/04/2022,0.329434862,0.590565138,3.035501443,1.693293316,3.339051587,1.862622647,A,2.5,7.5,1.73,,,,1.73,BF,30,Y
Newcastle,Liverpool,30/04/2022,0.293034784,0.626965216,3.412564152,1.594984817,3.753820567,1.754483299,H,7,11,1.13,,,,7,BF,5,N
Aston Villa,Norwich,30/04/2022,0.500137217,0.419862783,1.999451284,2.381730507,2.199396413,2.619903558,A,1.25,9.5,4.33,,,,4.33,BF,10,Y
Southampton,Crystal Palace,30/04/2022,0.487798252,0.432201748,2.050027848,2.313734278,2.255030633,2.545107705,A,1.67,7.5,2.63,,,,2.63,BF,10,Y
Watford,Burnley,30/04/2022,0.466375645,0.453624355,2.144194299,2.204467176,2.358613729,2.424913893,No bet,1.91,7.5,2.2,,,,,,,
Wolves,Brighton,30/04/2022,0.562717095,0.357282905,1.777091915,2.798902456,1.954801106,3.078792702,H,2.1,7.5,2,,,,2.1,BF,10,Y
Leeds,Man City,30/04/2022,0.262746368,0.657253632,3.805951753,1.521482654,4.186546928,1.673630919,H,7,12,1.13,,,,7,BF,5,N
Everton,Chelsea,01/05/2022,0.258780073,0.661219927,3.864285176,1.512356115,4.250713693,1.663591727,No bet,3.4,8,1.44,,,,,,,
Tottenham,Leicester,01/05/2022,0.484843167,0.435156833,2.06252262,2.298022058,2.268774882,2.527824264,A,1.3,8.5,4.2,,,,4.2,BF,10,N
West Ham,Arsenal,01/05/2022,0.464586501,0.455413499,2.152451694,2.195806671,2.367696863,2.415387338,H,2.63,7,1.67,,,,2.63,BF,10,N
Man United,Brentford,02/05/2022,0.328608321,0.591391679,3.043136578,1.690926732,3.347450236,1.860019405,A,1.36,8.5,3.75,,,,3.75,BF,10,Y
Crystal Palace,Watford,07/05/2022,0.626222449,0.293777551,1.596876639,3.403936064,1.756564303,3.744329671,No bet,1.44,8,3.3,,,,,,,
Chelsea,Wolves,07/05/2022,0.490491748,0.429508252,2.038770282,2.328243977,2.24264731,2.561068374,A,1.2,10,5,,,,5,BF,10,N
Burnley,Aston Villa,07/05/2022,0.520463478,0.399536522,1.921364403,2.502900099,2.113500843,2.753190109,No bet,2,7.5,2,,,,,,,
Brentford,Southampton,07/05/2022,0.422495578,0.497504422,2.366888676,2.010032387,2.603577543,2.211035625,No bet,1.91,7.5,2.1,,,,,,,
Brighton,Man United,07/05/2022,0.645661216,0.274338784,1.548799857,3.645128068,1.703679843,4.009640875,H,1.8,7.5,2.3,,,,1.83,BF,10,Y
Liverpool,Tottenham,07/05/2022,0.752640399,0.167359601,1.328655757,5.975157666,1.461521333,6.572673432,A,1.13,11,6.5,,,,7,BF,10,N
Leicester,Everton,08/05/2022,0.42265603,0.49734397,2.36599014,2.010680858,2.602589153,2.211748944,A,1.73,7.5,2.5,,,,2.5,BF,10,N
Arsenal,Leeds,08/05/2022,0.364652858,0.555347142,2.74233419,1.800675513,3.016567609,1.980743065,A,1.3,9,4.2,,,,4.2,BF,10,N
Man City,Newcastle,08/05/2022,0.480213419,0.439786581,2.082407447,2.273830178,2.290648192,2.501213196,A,1.03,20,17,,,,17,BF,10,N
Aston Villa,Liverpool,10/05/2022,0.384525867,0.535474133,2.60060528,1.867503841,2.860665808,2.054254225,H,6.5,11,1.14,,,,6.5,BF,10,N
Leeds,Chelsea,11/05/2022,0.283207873,0.636792127,3.530975288,1.570371173,3.884072817,1.727408291,No bet,3.4,8,1.4,,,,,,,
Leicester,Norwich,11/05/2022,0.469313883,0.450686117,2.130770123,2.218839148,2.343847135,2.440723063,A,1.22,9.5,4.5,,,,4.5,BF,10,N
Watford,Everton,11/05/2022,0.447522216,0.472477784,2.234525941,2.116501628,2.457978535,2.328151791,H,2.88,7.5,1.57,,,,2.88,BF,10,N
Wolves,Man City,11/05/2022,0.286344618,0.633655382,3.492295426,1.578144885,3.841524969,1.735959374,H,7,11,1.13,,,,7,BF,10,Y
Tottenham,Arsenal,12/05/2022,0.495832299,0.424167701,2.016810928,2.357558104,2.218492021,2.593313915,No bet,1.6,7.5,2.4,,,,,,,
Tottenham,Burnley,15/05/2022,0.462348824,0.457651176,2.162869134,2.185070315,2.379156048,2.403577346,A,1.2,10,5.5,,,,5.5,BF,10,N
Aston Villa,Crystal Palace,15/05/2022,0.365763412,0.554236588,2.734007743,1.804283624,3.007408517,1.984711987,A,1.73,7.5,2.4,,,,2.4,BF,10,Y
Leeds,Brighton,15/05/2022,0.429447766,0.490552234,2.328571898,2.0385189,2.561429087,2.24237079,A,1.73,7.5,2.5,,,,2.5,BF,10,N
West Ham,Man City,15/05/2022,0.268630024,0.651369976,3.722592081,1.535225811,4.094851289,1.688748393,No bet,8,12,1.1,,,,,,,
Watford,Leicester,15/05/2022,0.46368774,0.45631226,2.156623768,2.19148177,2.372286145,2.410629946,H,2.4,7.5,1.73,,,,2.4,BF,10,Y
