"","home_team","n"
"1","Arsenal",76
"2","Aston Villa",57
"3","Bournemouth",38
"4","Brentford",19
"5","Brighton",76
"6","Burnley",76
"7","Cardiff",19
"8","Chelsea",76
"9","Crystal Palace",76
"10","Everton",76
"11","Fulham",38
"12","Huddersfield",19
"13","Leeds",38
"14","Leicester",76
"15","Liverpool",76
"16","Man City",76
"17","Man United",76
"18","Newcastle",76
"19","Norwich",38
"20","Sheffield United",38
"21","Southampton",76
"22","Tottenham",76
"23","Watford",57
"24","West Brom",19
"25","West Ham",76
"26","Wolves",76
